"Asset","time","price","period"
"Asset 1","2021-01-01",1.3498433909959,"Phase1"
"Asset 1","2021-02-01",1.3577134294561,"Phase1"
"Asset 1","2021-03-01",1.32213987276022,"Phase1"
"Asset 1","2021-04-01",1.33426484325897,"Phase1"
"Asset 1","2021-05-01",1.29141342568976,"Phase1"
"Asset 1","2021-06-01",1.32741277911911,"Phase1"
"Asset 1","2021-07-01",1.30015818146864,"Phase1"
"Asset 1","2021-08-01",1.28488142811675,"Phase1"
"Asset 1","2021-09-01",1.30689237942377,"Phase1"
"Asset 1","2021-10-01",1.28088583794047,"Phase1"
"Asset 1","2021-11-01",1.33341343841453,"Phase1"
"Asset 1","2021-12-01",1.36691961279994,"Phase1"
"Asset 1","2022-01-01",1.34977501090468,"Phase1"
"Asset 1","2022-02-01",1.37337830726797,"Phase1"
"Asset 1","2022-03-01",1.36803496692565,"Phase1"
"Asset 1","2022-04-01",1.31694771146961,"Phase1"
"Asset 1","2022-05-01",1.32898521597197,"Phase1"
"Asset 1","2022-06-01",1.34300908730623,"Phase1"
"Asset 1","2022-07-01",1.35052585368643,"Phase1"
"Asset 1","2022-08-01",1.35166512382738,"Phase1"
"Asset 1","2022-09-01",1.34888254046804,"Phase1"
"Asset 1","2022-10-01",1.32221479638655,"Phase1"
"Asset 1","2022-11-01",1.36971987644777,"Phase1"
"Asset 1","2022-12-01",1.38669468943606,"Phase1"
"Asset 1","2023-01-01",1.39241771101137,"Phase1"
"Asset 1","2023-02-01",1.40505855829706,"Phase1"
"Asset 1","2023-03-01",1.42724811874164,"Phase1"
"Asset 1","2023-04-01",1.43880308402507,"Phase1"
"Asset 1","2023-05-01",1.45150781745558,"Phase1"
"Asset 1","2023-06-01",1.40848812497242,"Phase1"
"Asset 1","2023-07-01",1.41291421019274,"Phase1"
"Asset 1","2023-08-01",1.44170749889051,"Phase1"
"Asset 1","2023-09-01",1.47708568305222,"Phase1"
"Asset 1","2023-10-01",1.53209300835523,"Phase1"
"Asset 1","2023-11-01",1.56052908616759,"Phase1"
"Asset 1","2023-12-01",1.58517761009919,"Phase1"
"Asset 1","2024-01-01",1.60250169828161,"Phase1"
"Asset 1","2024-02-01",1.61768882446794,"Phase1"
"Asset 1","2024-03-01",1.57120732418211,"Phase1"
"Asset 1","2024-04-01",1.63348303216997,"Phase1"
"Asset 1","2024-05-01",1.71710531667181,"Phase1"
"Asset 1","2024-06-01",1.72638474853846,"Phase1"
"Asset 1","2024-07-01",1.75170147700628,"Phase1"
"Asset 1","2024-08-01",1.69558428661159,"Phase1"
"Asset 1","2024-09-01",1.73630660768367,"Phase1"
"Asset 1","2024-10-01",1.780310042655,"Phase1"
"Asset 1","2024-11-01",1.69057240047373,"Phase1"
"Asset 1","2024-12-01",1.71701171749813,"Phase1"
"Asset 1","2025-01-01",1.60573303853149,"Phase1"
"Asset 1","2025-02-01",1.59054993399272,"Phase1"
"Asset 1","2025-03-01",1.56164620425358,"Phase1"
"Asset 1","2025-04-01",1.62092841908327,"Phase1"
"Asset 1","2025-05-01",1.64086966436076,"Phase1"
"Asset 1","2025-06-01",1.54407374568887,"Phase1"
"Asset 1","2025-07-01",1.45003468797304,"Phase1"
"Asset 1","2025-08-01",1.47672280897804,"Phase1"
"Asset 1","2025-09-01",1.42335900216731,"Phase1"
"Asset 1","2025-10-01",1.17524403006363,"Phase1"
"Asset 1","2025-11-01",1.10324925617671,"Phase1"
"Asset 1","2025-12-01",1.10081636185055,"Phase1"
"Asset 2","2021-01-01",1.43292918817032,"Phase1"
"Asset 2","2021-02-01",1.39917030891177,"Phase1"
"Asset 2","2021-03-01",1.40347808909087,"Phase1"
"Asset 2","2021-04-01",1.39958515445589,"Phase1"
"Asset 2","2021-05-01",1.32734198634597,"Phase1"
"Asset 2","2021-06-01",1.35439998922479,"Phase1"
"Asset 2","2021-07-01",1.37742863107705,"Phase1"
"Asset 2","2021-08-01",1.38327941987472,"Phase1"
"Asset 2","2021-09-01",1.40149438678959,"Phase1"
"Asset 2","2021-10-01",1.45268373789005,"Phase1"
"Asset 2","2021-11-01",1.51784756222122,"Phase1"
"Asset 2","2021-12-01",1.53138092533603,"Phase1"
"Asset 2","2022-01-01",1.46606415290021,"Phase1"
"Asset 2","2022-02-01",1.4638170728696,"Phase1"
"Asset 2","2022-03-01",1.50158447950877,"Phase1"
"Asset 2","2022-04-01",1.48355845288951,"Phase1"
"Asset 2","2022-05-01",1.46199348099859,"Phase1"
"Asset 2","2022-06-01",1.48757483719333,"Phase1"
"Asset 2","2022-07-01",1.46836391173009,"Phase1"
"Asset 2","2022-08-01",1.51340054369908,"Phase1"
"Asset 2","2022-09-01",1.57619307378549,"Phase1"
"Asset 2","2022-10-01",1.62518211225523,"Phase1"
"Asset 2","2022-11-01",1.64786392706979,"Phase1"
"Asset 2","2022-12-01",1.76109711830506,"Phase1"
"Asset 2","2023-01-01",1.89941641767703,"Phase1"
"Asset 2","2023-02-01",1.920449662938,"Phase1"
"Asset 2","2023-03-01",1.9263187503959,"Phase1"
"Asset 2","2023-04-01",2.1152033209593,"Phase1"
"Asset 2","2023-05-01",2.33962186499411,"Phase1"
"Asset 2","2023-06-01",2.06696006662671,"Phase1"
"Asset 2","2023-07-01",2.18863125663629,"Phase1"
"Asset 2","2023-08-01",2.18332109898152,"Phase1"
"Asset 2","2023-09-01",2.07474627750204,"Phase1"
"Asset 2","2023-10-01",2.02806829686599,"Phase1"
"Asset 2","2023-11-01",2.16696298491246,"Phase1"
"Asset 2","2023-12-01",2.17625607095002,"Phase1"
"Asset 2","2024-01-01",2.17915692969401,"Phase1"
"Asset 2","2024-02-01",2.29929007086945,"Phase1"
