"game","team","time","pfval"
3,"team1","2031-01-01",1
3,"team1","2031-02-01",0.934310290142006
3,"team1","2031-03-01",0.913275954374851
3,"team1","2031-04-01",0.888260147646183
3,"team1","2031-05-01",0.886377801717022
3,"team1","2031-06-01",0.908783130520323
3,"team1","2031-07-01",0.911033215687679
3,"team1","2031-08-01",1.01813282098635
3,"team1","2031-09-01",1.12283845265956
3,"team1","2031-10-01",0.965683950744564
3,"team1","2031-11-01",0.953348474465974
3,"team1","2031-12-01",0.992003738732389
3,"team1","2032-01-01",1.11285962359946
3,"team1","2032-02-01",1.09101104203531
3,"team1","2032-03-01",0.953078238320181
3,"team1","2032-04-01",0.923504203600121
3,"team1","2032-05-01",0.936992631028645
3,"team1","2032-06-01",1.00073532793357
3,"team1","2032-07-01",0.906574572812348
3,"team1","2032-08-01",0.891508337324911
3,"team1","2032-09-01",0.930571541294681
3,"team1","2032-10-01",0.938969992287135
3,"team1","2032-11-01",0.952983401287872
3,"team1","2032-12-01",0.895320453630855
3,"team1","2033-01-01",0.878605590629291
3,"team1","2033-02-01",0.880074911408465
3,"team1","2033-03-01",0.890212475062382
3,"team1","2033-04-01",0.919712635887904
3,"team1","2033-05-01",0.874118978881956
3,"team1","2033-06-01",0.868908635072953
3,"team1","2033-07-01",0.865817295997919
3,"team1","2033-08-01",0.903325530421432
3,"team1","2033-09-01",0.872329013148346
3,"team1","2033-10-01",0.866434738940276
3,"team1","2033-11-01",0.876379243080174
3,"team1","2033-12-01",0.871923157089966
3,"team1","2034-01-01",0.889875513387736
3,"team1","2034-02-01",1.13060197304665
3,"team1","2034-03-01",1.06139365928195
3,"team1","2034-04-01",1.04824114006704
3,"team1","2034-05-01",0.963269839363469
3,"team1","2034-06-01",0.956370767925147
3,"team1","2034-07-01",0.947350080449813
3,"team1","2034-08-01",0.936073585128721
3,"team1","2034-09-01",0.9443440946808
3,"team1","2034-10-01",1.07995880530036
3,"team1","2034-11-01",1.08286936654679
3,"team1","2034-12-01",1.20235748544084
