"symbol","time","price","period"
"djia",2032-01-01,2.2466025889937,"Phase3"
"djia",2032-02-01,2.29823414056805,"Phase3"
"djia",2032-03-01,2.29648383716299,"Phase3"
"djia",2032-04-01,2.30144880264522,"Phase3"
"djia",2032-05-01,2.32119688234811,"Phase3"
"djia",2032-06-01,2.29590418820783,"Phase3"
"djia",2032-07-01,2.27897329249073,"Phase3"
"djia",2032-08-01,2.18504518363131,"Phase3"
"djia",2032-09-01,2.09262571582077,"Phase3"
"djia",2032-10-01,2.20050156572039,"Phase3"
"djia",2032-11-01,2.26994411891475,"Phase3"
"djia",2032-12-01,2.24667943663607,"Phase3"
"djia",2033-01-01,2.0881820406104,"Phase3"
"djia",2033-02-01,2.08749640649798,"Phase3"
"djia",2033-03-01,2.21585189414988,"Phase3"
"djia",2033-04-01,2.28529335964168,"Phase3"
"djia",2033-05-01,2.26582114203303,"Phase3"
"djia",2033-06-01,2.27383151441924,"Phase3"
"djia",2033-07-01,2.34891969071649,"Phase3"
"djia",2033-08-01,2.36864282262785,"Phase3"
"djia",2033-09-01,2.33947090247305,"Phase3"
"djia",2033-10-01,2.32885962020611,"Phase3"
"djia",2033-11-01,2.39453039018593,"Phase3"
"djia",2033-12-01,2.52453190848594,"Phase3"
"djia",2034-01-01,2.54959851710778,"Phase3"
"djia",2034-02-01,2.61568055898421,"Phase3"
"djia",2034-03-01,2.6667686864779,"Phase3"
"djia",2034-04-01,2.64904863466267,"Phase3"
"djia",2034-05-01,2.68133684576889,"Phase3"
"djia",2034-06-01,2.73012874228611,"Phase3"
"djia",2034-07-01,2.76386899183427,"Phase3"
"djia",2034-08-01,2.80649336752135,"Phase3"
"djia",2034-09-01,2.83970615824226,"Phase3"
"djia",2034-10-01,2.9502062827263,"Phase3"
"djia",2034-11-01,3.0170183681413,"Phase3"
"djia",2034-12-01,3.14347978716867,"Phase3"
"djia",2035-01-01,3.3046705513187,"Phase3"
"djia",2035-02-01,3.19933808770954,"Phase3"
"djia",2035-03-01,3.14819092544583,"Phase3"
"djia",2035-04-01,3.11259344751813,"Phase3"
"djia",2035-05-01,3.14695658494262,"Phase3"
"djia",2035-06-01,3.17482113767538,"Phase3"
"djia",2035-07-01,3.19891367983204,"Phase3"
"djia",2035-08-01,3.28238293268414,"Phase3"
"djia",2035-09-01,3.35956695238546,"Phase3"
"djia",2035-10-01,3.27973878831213,"Phase3"
"djia",2035-11-01,3.23482960078318,"Phase3"
"djia",2035-12-01,3.04873004660871,"Phase3"
"djia",2036-01-01,3.09384200581839,"Phase3"
"djia",2036-02-01,3.27925020198515,"Phase3"
"djia",2036-03-01,3.29424624938608,"Phase3"
"djia",2036-04-01,3.38119885344526,"Phase3"
"djia",2036-05-01,3.29708517804843,"Phase3"
"djia",2036-06-01,3.35027342580484,"Phase3"
"djia",2036-07-01,3.46925964661349,"Phase3"
"djia",2036-08-01,3.33716273875773,"Phase3"
"djia",2036-09-01,3.44505827451062,"Phase3"
"djia",2036-10-01,3.42412987323729,"Phase3"
"djia",2036-11-01,3.55991382733325,"Phase3"
"djia",2036-12-01,3.607293845695,"Phase3"
"gold",2032-01-01,4.31900305372414,"Phase3"
"gold",2032-02-01,4.25596957799343,"Phase3"
"gold",2032-03-01,4.08151445561624,"Phase3"
"gold",2032-04-01,4.14241425290762,"Phase3"
"gold",2032-05-01,4.14044964994158,"Phase3"
"gold",2032-06-01,4.08708501415369,"Phase3"
"gold",2032-07-01,3.91192584313814,"Phase3"
"gold",2032-08-01,3.86333555572018,"Phase3"
"gold",2032-09-01,3.88884698529857,"Phase3"
"gold",2032-10-01,4.00022672835474,"Phase3"
"gold",2032-11-01,3.7626079298055,"Phase3"
"gold",2032-12-01,3.69322007391494,"Phase3"
"gold",2033-01-01,3.78772995530533,"Phase3"
"gold",2033-02-01,4.13079981233178,"Phase3"
"gold",2033-03-01,4.30855783555984,"Phase3"
"gold",2033-04-01,4.29175823723568,"Phase3"
"gold",2033-05-01,4.35503123688174,"Phase3"
"gold",2033-06-01,4.40282332922528,"Phase3"
"gold",2033-07-01,4.62355236190335,"Phase3"
"gold",2033-08-01,4.63541968316396,"Phase3"
"gold",2033-09-01,4.58618034556993,"Phase3"
"gold",2033-10-01,4.38674469713806,"Phase3"
"gold",2033-11-01,4.28775083227265,"Phase3"
"gold",2033-12-01,3.98308763612119,"Phase3"
"gold",2034-01-01,4.1230379205044,"Phase3"
"gold",2034-02-01,4.26388621379361,"Phase3"
"gold",2034-03-01,4.25584181759035,"Phase3"
"gold",2034-04-01,4.38059609353779,"Phase3"
"gold",2034-05-01,4.30488678173692,"Phase3"
"gold",2034-06-01,4.36029380403038,"Phase3"
"gold",2034-07-01,4.26979776279724,"Phase3"
"gold",2034-08-01,4.43213900618153,"Phase3"
"gold",2034-09-01,4.55308623684059,"Phase3"
"gold",2034-10-01,4.42736050032887,"Phase3"
"gold",2034-11-01,4.43604240044717,"Phase3"
"gold",2034-12-01,4.37549240164638,"Phase3"
"gold",2035-01-01,4.6075826043231,"Phase3"
"gold",2035-02-01,4.6109217966763,"Phase3"
"gold",2035-03-01,4.58252874698537,"Phase3"
"gold",2035-04-01,4.61300466701237,"Phase3"
"gold",2035-05-01,4.50664658287445,"Phase3"
"gold",2035-06-01,4.43236947592826,"Phase3"
"gold",2035-07-01,4.28004319062916,"Phase3"
"gold",2035-08-01,4.15488240430829,"Phase3"
"gold",2035-09-01,4.14568116156752,"Phase3"
"gold",2035-10-01,4.19936420411174,"Phase3"
"gold",2035-11-01,4.22200409906907,"Phase3"
"gold",2035-12-01,4.32091655912134,"Phase3"
"gold",2036-01-01,4.46522301315249,"Phase3"
"gold",2036-02-01,4.56245400893893,"Phase3"
"gold",2036-03-01,4.502061881127,"Phase3"
"gold",2036-04-01,4.45146554065733,"Phase3"
"gold",2036-05-01,4.43575244256776,"Phase3"
"gold",2036-06-01,4.69635405091735,"Phase3"
"gold",2036-07-01,4.89037513245748,"Phase3"
"gold",2036-08-01,5.17555209850936,"Phase3"
"gold",2036-09-01,5.2213003432353,"Phase3"
"gold",2036-10-01,5.1686140611987,"Phase3"
"gold",2036-11-01,5.0885003827444,"Phase3"
"gold",2036-12-01,5.1165148035657,"Phase3"
"kospi",2032-01-01,4.05365314475606,"Phase3"
"kospi",2032-02-01,4.13807816148679,"Phase3"
"kospi",2032-03-01,4.24700161075318,"Phase3"
"kospi",2032-04-01,4.44672878721305,"Phase3"
"kospi",2032-05-01,4.46283106740045,"Phase3"
"kospi",2032-06-01,4.35476210539762,"Phase3"
"kospi",2032-07-01,4.34283626433625,"Phase3"
"kospi",2032-08-01,4.12024251648205,"Phase3"
